Sample    Real    Imaginary   Mod
392 0.376439 -35.32 35.322
393 -4.72211 -26.7319 27.1457
394 -7.40037 -17.121 18.6519
395 -7.48421 -7.16556 10.3614
396 -4.98504 2.43707 5.54886
397 -0.0975189 11.0202 11.0207
398 6.81562 17.9948 19.2423
399 15.2506 22.8906 27.5057
400 24.5993 25.3888 35.3513
401 34.1933 25.3435 42.5615
402 43.352 22.7913 48.978
403 51.4309 17.9469 54.4722
404 57.8673 11.1873 58.9388
405 62.2205 3.02345 62.2939
406 64.2019 -5.93667 64.4758
407 63.6951 -15.0324 65.4449
408 60.7635 -23.5976 65.1847
409 55.6445 -31.0086 63.7012
410 48.732 -36.7288 61.023
411 40.5471 -40.3465 57.2006
412 31.7008 -41.6039 52.3051
413 22.8492 -40.4155 46.4274
414 14.6467 -36.8734 39.6758
415 7.6988 -31.2399 32.1746
416 2.51869 -23.9291 24.0613
417 -0.509295 -15.4759 15.4842
418 -1.15718 -6.49794 6.60018
419 0.630558 2.34879 2.43196
420 4.7331 10.4174 11.4422
421 10.8621 17.1161 20.2718
422 18.5823 21.951 28.7602
423 27.3429 24.5611 36.7544
424 36.5168 24.7441 44.1106
425 45.4451 22.4712 50.6973
426 53.4847 17.8891 56.3971
427 60.0536 11.3093 61.1092
428 64.6727 3.18669 64.7512
429 66.9997 -5.91353 67.2602
430 66.8535 -15.3554 68.5943
431 64.2273 -24.4774 68.7335
432 59.2886 -32.6398 67.6794
433 52.3681 -39.2692 65.456
434 43.9354 -43.8997 62.1088
435 34.5662 -46.2059 57.7045
436 24.9014 -46.0254 52.3299
437 15.6015 -43.3703 46.0911
438 7.30022 -38.4264 39.1137
439 0.559076 -31.5394 31.5444
440 -4.17181 -23.1907 23.5629
441 -6.58568 -13.9624 15.4376
442 -6.54058 -4.49647 7.93709
443 -4.06926 4.55144 6.10528
444 0.623528 12.5584 12.5739
445 7.17582 18.9785 20.2898
446 15.0945 23.3819 27.8309
447 23.7906 25.4851 34.8638
448 32.6217 25.171 41.2038
449 40.9374 22.4977 46.712
450 48.1264 17.6937 51.2759
451 53.6604 11.1419 54.8049
452 57.1314 3.35225 57.2297
453 58.2818 -5.07486 58.5023
454 57.0228 -13.4913 58.597
455 53.4413 -21.2477 57.5103
456 47.7941 -27.7399 55.261
457 40.4904 -32.4527 51.8908
458 32.0626 -34.9967 47.4634
459 23.1293 -35.1368 42.0661
460 14.3514 -32.8102 35.8116
461 6.38517 -28.1311 28.8466
462 -0.164159 -21.3842 21.3848
463 -4.78585 -13.0051 13.8577
464 -7.10021 -3.55083 7.9386
465 -6.8862 6.33891 9.35957
466 -4.09797 15.9862 16.5031
467 1.13086 24.722 24.7478
468 8.49549 31.933 33.0438
469 17.5402 37.105 41.0419
470 27.6891 39.8585 48.5323
471 38.2858 39.976 55.3524
472 48.6379 37.4178 61.3656
473 58.0648 32.3252 66.4563
474 65.9448 25.0113 70.5286
475 71.7572 15.9399 73.5063
476 75.1188 5.69419 75.3343
477 75.8098 -5.06346 75.9787
478 73.7887 -15.6364 75.4272
479 69.1951 -25.3414 73.6895
480 62.3399 -33.5553 70.7971
481 53.6835 -39.7572 66.8023
482 43.8035 -43.5636 61.7781
483 33.3554 -44.7542 55.8169
484 23.027 -43.2857 49.0295
485 13.4911 -39.2937 41.5452
486 5.35973 -33.0825 33.5138
487 -0.857385 -25.1025 25.1171
488 -4.78714 -15.9183 16.6225
489 -6.21745 -6.16869 8.75839
490 -5.11042 3.47825 6.1818
491 -1.60322 12.3717 12.4751
492 4.00323 19.9231 20.3213
493 11.267 25.6465 28.0123
494 19.6375 29.1918 35.1823
495 28.4955 30.3671 41.6432
496 37.1972 29.1513 47.2592
497 45.1203 25.6931 51.9228
498 51.7077 20.299 55.5494
499 56.5066 13.4096 58.0759
500 59.1995 5.5668 59.4607
501 59.626 -2.62595 59.6838
502 57.7923 -10.5477 58.747
503 53.8698 -17.605 56.6736
504 48.1809 -23.2744 53.5079
505 41.1746 -27.1399 49.3145
506 33.3928 -28.9227 44.177
507 25.4306 -28.5002 38.1966
508 17.892 -25.9143 31.4909
509 11.3458 -21.3676 24.193
510 6.28445 -15.2078 16.4551
511 3.0876 -7.90144 8.48328
512 1.99471 3.72972e-14 1.99471
513 3.0876 7.90144 8.48328
514 6.28445 15.2078 16.4551
515 11.3458 21.3676 24.193
516 17.892 25.9143 31.4909
517 25.4306 28.5002 38.1966
518 33.3928 28.9227 44.177
519 41.1746 27.1399 49.3145
520 48.1809 23.2744 53.5079
521 53.8698 17.605 56.6736
522 57.7923 10.5477 58.747
523 59.626 2.62595 59.6838
524 59.1995 -5.5668 59.4607
525 56.5066 -13.4096 58.0759
526 51.7077 -20.299 55.5494
527 45.1203 -25.6931 51.9228
528 37.1972 -29.1513 47.2592
529 28.4955 -30.3671 41.6432
530 19.6375 -29.1918 35.1823
531 11.267 -25.6465 28.0123
532 4.00323 -19.9231 20.3213
533 -1.60322 -12.3717 12.4751
534 -5.11042 -3.47825 6.1818
535 -6.21745 6.16869 8.75839
536 -4.78714 15.9183 16.6225
537 -0.857385 25.1025 25.1171
538 5.35973 33.0825 33.5138
539 13.4911 39.2937 41.5452
540 23.027 43.2857 49.0295
541 33.3554 44.7542 55.8169
542 43.8035 43.5636 61.7781
543 53.6835 39.7572 66.8023
544 62.3399 33.5553 70.7971
545 69.1951 25.3414 73.6895
546 73.7887 15.6364 75.4272
547 75.8098 5.06346 75.9787
548 75.1188 -5.69419 75.3343
549 71.7572 -15.9399 73.5063
550 65.9448 -25.0113 70.5286
551 58.0648 -32.3252 66.4563
552 48.6379 -37.4178 61.3656
553 38.2858 -39.976 55.3524
554 27.6891 -39.8585 48.5323
555 17.5402 -37.105 41.0419
556 8.49549 -31.933 33.0438
557 1.13086 -24.722 24.7478
558 -4.09797 -15.9862 16.5031
559 -6.8862 -6.33891 9.35957
560 -7.10021 3.55083 7.9386
561 -4.78585 13.0051 13.8577
562 -0.164159 21.3842 21.3848
563 6.38517 28.1311 28.8466
564 14.3514 32.8102 35.8116
565 23.1293 35.1368 42.0661
566 32.0626 34.9967 47.4634
567 40.4904 32.4527 51.8908
568 47.7941 27.7399 55.261
569 53.4413 21.2477 57.5103
570 57.0228 13.4913 58.597
571 58.2818 5.07486 58.5023
572 57.1314 -3.35225 57.2297
573 53.6604 -11.1419 54.8049
574 48.1264 -17.6937 51.2759
575 40.9374 -22.4977 46.712
576 32.6217 -25.171 41.2038
577 23.7906 -25.4851 34.8638
578 15.0945 -23.3819 27.8309
579 7.17582 -18.9785 20.2898
580 0.623528 -12.5584 12.5739
581 -4.06926 -4.55144 6.10528
582 -6.54058 4.49647 7.93709
583 -6.58568 13.9624 15.4376
584 -4.17181 23.1907 23.5629
585 0.559076 31.5394 31.5444
586 7.30022 38.4264 39.1137
587 15.6015 43.3703 46.0911
